"scores","team","id","age"
3.48410101349768,"Amateur",144,14.9
3.5769002402725,"Amateur",145,20.53
2.80244712431465,"Amateur",146,16.85
5.24782859616343,"Amateur",147,19.75
3.77964616406557,"NWT",148,28.32
3.8771007576971,"Amateur",149,18.18
2.34202618282974,"Amateur",150,15.3
3.43740461550442,"NWT",151,22.28
3.32926124311877,"NWT",152,23.69
2.66662238178801,"Amateur",153,18.27
3.32205424732214,"NWT",154,27.53
1.5269036331829,"NWT",155,29.73
3.70423400944003,"NWT",156,20.18
3.00857576593321,"NWT",157,19.67
4.2801599985397,"Amateur",158,18.23
2.91578191952614,"Amateur",159,19
1.69925764120717,"Amateur",160,14.51
3.57599836114681,"NWT",161,21.16
2.5156003451987,"Amateur",162,19.31
3.49107059433727,"Amateur",163,18.95
