"","prob","id","age","team"
"1",0.0134324415467486,21,26.09,2
"2",0.0114790811040406,21,26.46,2
"3",0.00234825670045335,21,26.61,2
"4",0.00288446350114691,21,26.69,2
"5",0.0018512001880383,21,26.79,2
"6",0.00392617701027698,21,27.27,2
"7",0.0216418028976387,21,27.43,1
"8",0.00339103366235383,21,28.16,2
"9",0.000973841939165832,21,28.24,2
"10",0.00162416387690001,21,28.34,2
"11",0.000605772851781206,21,28.45,2
"12",0.000678154736811543,21,29.07,2
"13",0.00880266461741042,22,25.26,2
"14",0.467969021475018,23,20.58,2
"15",0.134863073843315,23,21.16,2
"16",0.999859623609423,24,12.73,1
"17",0.999934148659127,24,13.14,1
"18",0.999717464995975,24,14.48,1
"19",0.999791514779562,25,16.21,1
"20",0.997972689187155,26,14.07,1
"21",0.998986630985975,26,14.48,1
"22",0.992284732539748,26,15.82,1
"23",0.976205508839866,27,17.04,1
"24",0.00229937366185717,28,28.52,2
"25",0.016942398203189,28,28.88,2
"26",0.00869824128225938,28,29.03,2
"27",0.00122325088220043,28,29.11,2
"28",0.00437848238102456,28,29.21,2
"29",0.988475550323704,29,18.91,1
"30",0.929036667011194,29,18.28,1
"31",0.00170302465166805,30,27.8,2
"32",0.00107750841558152,30,27.95,2
"33",0.00286419956272854,30,28.03,2
"34",0.00170981629945366,30,28.13,2
"35",0.000599658399919933,30,28.61,2
"36",0.000674733732765498,30,29.51,2
"37",0.000229693837562439,30,29.59,2
"38",0.000468412816931107,30,29.68,2
"39",0.000467833053981348,30,29.79,2
"40",0.000278330884713296,30,30.41,2
"41",0.912051121448173,31,18,1
"42",0.998743850426134,32,16.27,1
"43",0.99876870570288,32,16.43,1
"44",0.996366994659058,32,16.67,1
"45",0.992893880650112,33,18.89,1
"46",0.980020335602101,33,18.99,1
"47",0.595211295432156,34,22.08,2
"48",0.153207953963284,34,22.23,2
"49",0.299554336745804,34,22.31,2
"50",0.988365006430448,35,17.26,1
"51",0.976657782017992,35,18.34,1
"52",0.954550286409066,35,18.79,1
"53",0.516853898004453,36,21.81,2
"54",0.189888568009993,36,21.96,2
"55",0.45031928645911,36,22.04,2
"56",0.126906634494056,36,22.14,2
"57",0.0279551998112335,36,23.52,2
"58",0.0628074756389081,36,23.71,2
"59",0.0948050573998239,36,23.8,2
"60",0.966230653748946,37,19.29,1
"61",0.527939407896338,37,19.68,1
"62",0.347856533271258,37,20.11,2
"63",0.664985423458469,37,20.5,1
